audio_dir_rel,bird_id_norm,bird_id_raw,regime,dph,session_label,split,num_files,top_dir,pre_bird_path,audio_dir,roi_dir,wav_files_checked,missing_roi_dir,missing_roi_files,empty_roi_files,roi_files_present,roi_parse_errors,segments_total,segment_duration_total_sec,segment_duration_mean_sec,segment_duration_min_sec,segment_duration_p05_sec,segment_duration_p50_sec,segment_duration_p95_sec,segment_duration_max_sec
day43 Bells/pk249/33,PK249,pk249,bells,33.0,,train,140,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/33,/tmp/ava_roi_autoencoded-vocal-analysis-8ot_smoke/day43 Bells/pk249/33,140,False,0,5,140,0,836,82.88362672179937,0.09914309416483179,0.017414964735507965,0.023219972848892212,0.05804988741874695,0.32507939636707306,0.49922903440892696
day43 Bells/pk249/34,PK249,pk249,bells,34.0,,train,328,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/34,/tmp/ava_roi_autoencoded-vocal-analysis-8ot_smoke/day43 Bells/pk249/34,328,False,0,0,328,0,3722,452.4466117778793,0.12156007839276714,0.01741480827331543,0.029024839401245117,0.10448980331420898,0.29605435132980346,0.4876190312206745
day43 Bells/pk249/35,PK249,pk249,bells,35.0,,train,471,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/35,/tmp/ava_roi_autoencoded-vocal-analysis-8ot_smoke/day43 Bells/pk249/35,471,False,0,11,471,0,5225,700.9872106686234,0.13416023170691357,0.01741492748260498,0.029024941846728325,0.11609983444213867,0.3192741394042969,0.49922903440892696
day43 Bells/pk249/36,PK249,pk249,bells,36.0,,train,764,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/36,/tmp/ava_roi_autoencoded-vocal-analysis-8ot_smoke/day43 Bells/pk249/36,764,False,0,1,764,0,21104,1990.4609175631776,0.0943167606881718,0.011610031127929688,0.02321995235979557,0.06385493278503418,0.2670292854309082,0.49922943115234375
day43 Bells/pk249/37,PK249,pk249,bells,37.0,,test,592,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/37,/tmp/ava_roi_autoencoded-vocal-analysis-8ot_smoke/day43 Bells/pk249/37,592,False,0,3,592,0,8212,1027.8719304073602,0.12516706410221143,0.017414569854736328,0.029024958610534668,0.10448980331420898,0.28444457054138184,0.49922899529337883
