audio_dir_rel,bird_id_norm,bird_id_raw,regime,dph,session_label,split,num_files,top_dir,pre_bird_path,audio_dir,roi_dir,wav_files_checked,missing_roi_dir,missing_roi_files,empty_roi_files,roi_files_present,roi_parse_errors,segments_total,segment_duration_total_sec,segment_duration_mean_sec,segment_duration_min_sec,segment_duration_p05_sec,segment_duration_p50_sec,segment_duration_p95_sec,segment_duration_max_sec
day43 Bells/pk244/36,PK244,pk244,bells,36.0,,train,212,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk244/36,/Volumes/samsung_ssd/data/ava_roi_birdsong_full/day43 Bells/pk244/36,20,False,0,0,20,0,168,14.303490000000002,0.08513982142857143,0.01741999999999999,0.023220000000000008,0.05223999999999984,0.28241,0.4644
day43 Bells/pk244/37,PK244,pk244,bells,37.0,,train,508,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk244/37,/Volumes/samsung_ssd/data/ava_roi_birdsong_full/day43 Bells/pk244/37,20,False,0,0,20,0,293,32.97824000000001,0.11255372013651879,0.023219999999999796,0.029020000000000046,0.08706999999999887,0.28444,0.4702100000000007
day43 Bells/pk244/38,PK244,pk244,bells,38.0,,train,747,day43 Bells,,/Volumes/samsung_ssd/data/birdsong/day43 Bells/pk244/38,/Volumes/samsung_ssd/data/ava_roi_birdsong_full/day43 Bells/pk244/38,20,True,20,0,0,0,0,0.0,,,,,,
